"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
3038,1400,879,285,543,32.42320819,61.77474403,62.78571429,29.35153584
3040,1371,1050,314,685,29.9047619,65.23809524,76.58643326,35.33333334
3042,1604,1255,498,700,39.6812749,55.77689243,78.24189526,16.09561753
3044,500,290,73,204,25.17241379,70.34482759,58,45.1724138
3046,0,0,0,0,0,0,0,0
3048,1258,761,220,516,28.90932983,67.80551905,60.49284579,38.89618922
3050,22,7,2,5,28.57142857,71.42857143,31.81818182,42.85714286
3052,1000,524,135,355,25.76335878,67.7480916,52.4,41.98473282
3058,2,1,0,1,0,100,50,100
3060,341,198,29,155,14.64646465,78.28282828,58.06451613,63.63636363
3062,2008,1249,286,899,22.89831865,71.97758207,62.20119522,49.07926342
3064,1114,686,202,446,29.44606414,65.01457726,61.57989228,35.56851312
3066,934,556,148,364,26.61870504,65.4676259,59.52890792,38.84892086
3068,1267,933,324,551,34.7266881,59.056806,73.63851618,24.3301179
3070,1482,897,245,615,27.31326644,68.56187291,60.52631579,41.24860647
3071,0,0,0,0,0,0,0,0
3072,6,1,1,0,100,0,16.66666667,-100
3074,1185,872,385,437,44.15137615,50.1146789,73.58649789,5.96330275
3075,34,20,7,12,35,60,58.82352941,25
3076,172,96,31,56,32.29166667,58.33333333,55.81395349,26.04166666
3078,1492,1050,419,581,39.9047619,55.33333333,70.37533512,15.42857143
3080,1897,1114,230,841,20.64631957,75.49371634,58.72430153,54.84739677
3082,1712,1432,837,540,58.44972067,37.70949721,83.64485981,-20.74022346
3084,1757,1383,661,670,47.79464931,48.44540853,78.71371656,0.650759220000005
3086,2026,1445,708,654,48.99653979,45.25951557,71.32280355,-3.73702422
3088,261,197,43,148,21.82741117,75.12690355,75.4789272,53.29949238
3090,2750,2361,973,1321,41.21135112,55.95086828,85.85454545,14.73951716
3092,2479,2073,877,1133,42.30583695,54.65508924,83.6224284,12.34925229
3094,708,474,210,244,44.30379747,51.47679325,66.94915254,7.17299578
3096,1870,1446,583,812,40.31811895,56.1549101,77.32620321,15.83679115
3098,1709,1299,619,633,47.65204003,48.72979215,76.0093622,1.07775212000001
3100,1067,855,399,416,46.66666667,48.65497076,80.131209,1.98830409
3102,2278,1575,502,1019,31.87301587,64.6984127,69.13959614,32.82539683
3104,1090,852,401,412,47.0657277,48.35680751,78.16513761,1.29107981
3106,546,397,143,239,36.02015113,60.20151134,72.71062271,24.18136021
3108,1898,1403,410,928,29.22309337,66.14397719,73.9199157,36.92088382
3110,1486,1036,346,650,33.3976834,62.74131274,69.71736205,29.34362934
3112,1616,983,267,680,27.16174975,69.17599186,60.82920792,42.01424211
3114,971,642,287,328,44.70404984,51.09034268,66.11740474,6.38629284
3116,2437,1674,555,1047,33.15412186,62.54480287,68.69101354,29.39068101
3118,576,452,235,195,51.99115044,43.14159292,78.47222222,-8.84955752
3120,2342,2098,815,1241,38.8465205,59.15157293,89.58155423,20.30505243
3122,1653,1356,498,820,36.72566372,60.4719764,82.03266788,23.74631268
3124,1950,1500,642,797,42.8,53.13333333,76.92307692,10.33333333
3126,1592,1205,533,617,44.23236515,51.2033195,75.69095477,6.97095435
3128,2071,1620,661,911,40.80246914,56.2345679,78.22308064,15.43209876
3130,2805,2202,1004,1111,45.59491371,50.45413261,78.5026738,4.8592189
3132,2034,1494,688,744,46.05087015,49.79919679,73.45132743,3.74832663999999
3133,355,284,118,159,41.54929577,55.98591549,80,14.43661972
3134,1969,1317,348,931,26.42369021,70.69096431,66.88674454,44.2672741
3136,1738,1279,432,795,33.7763878,62.15793589,73.59033372,28.38154809
3138,1844,1391,525,808,37.7426312,58.08770669,75.43383948,20.34507549
3140,857,652,229,390,35.12269939,59.81595092,76.07934656,24.69325153
3142,673,503,173,310,34.39363817,61.63021869,74.73997028,27.23658052
3144,25,13,6,4,46.15384615,30.76923077,52,-15.38461538
3146,566,418,119,287,28.46889952,68.66028708,73.85159011,40.19138756
3148,161,110,58,50,52.72727273,45.45454545,68.32298137,-7.27272728
3150,1067,947,313,614,33.05174234,64.83632524,88.75351453,31.7845829
